

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
45537    45333    5249     105      -9.5291615284e-01    -1.9739587123e+00    107.15      93.8  
45804    45600    5256     97       -9.5291615284e-01    -1.9739587123e+00    107.15      94.3  
46071    45867    5265     111      -9.5291615284e-01    -1.9739587123e+00    107.15      94.9  
46338    46134    5266     59       -9.5291615284e-01    -1.9739587123e+00    107.15      95.4  
46605    46401    5263     81       -9.5291615284e-01    -1.9739587123e+00    107.15      95.9  
46873    46668    5261     104      -9.5291615284e-01    -1.9739587123e+00    107.15      96.5  
47140    46935    5274     117      -9.5291615284e-01    -1.9739587123e+00    107.15      97.0  
47409    47204    5273     70       -9.5291615284e-01    -1.9739587123e+00    107.15      97.5  
47679    47472    5277     93       -9.5291615284e-01    -1.9739587123e+00    107.15      98.0  
47943    47733    5265     115      -9.5291615284e-01    -1.9739587123e+00    107.15      98.6  
48211    47998    5267     68       -9.5291615284e-01    -1.9277362845e+00    102.30      99.1  
48478    48264    5270     74       -9.5291615284e-01    -1.9126520685e+00    100.72      99.6  
48745    48531    5261     96       -9.5291615284e-01    -1.9126520685e+00    100.72      100.1 
49012    48798    5256     118      -9.5291615284e-01    -1.9054557845e+00    99.96       100.6 
49279    49063    5243     67       -9.8156766224e-01    -1.9054557845e+00    94.12       101.1 
49547    49330    5245     90       -9.8156766224e-01    -1.9054557845e+00    94.12       101.7 
49813    49596    5249     112      -9.8156766224e-01    -1.9054557845e+00    94.12       102.2 
50080    49862    5244     65       -9.8156766224e-01    -1.8825788522e+00    91.79       102.8 
50347    50128    5241     110      -9.8156766224e-01    -1.8825788522e+00    91.79       103.3 
50607    50388    5241     114      -9.8156766224e-01    -1.8825788522e+00    91.79       103.8 
50874    50654    5230     88       -9.8156766224e-01    -1.8825788522e+00    91.79       104.4 
51142    50920    5228     110      -9.8156766224e-01    -1.8825788522e+00    91.79       104.9 
51410    51186    5220     85       -9.8156766224e-01    -1.8825788522e+00    91.79       105.5 
51678    51454    5214     103      -9.8156766224e-01    -1.8825788522e+00    91.79       106.0 
51945    51721    5205     61       -9.8156766224e-01    -1.8778862927e+00    91.32       106.5 
52214    51990    5202     111      -9.8156766224e-01    -1.8767355724e+00    91.20       107.1 
52482    52258    5196     82       -9.8156766224e-01    -1.8728054526e+00    90.80       107.7 
52749    52524    5195     87       -9.8156766224e-01    -1.8671455223e+00    90.22       108.2 
53015    52790    5193     110      -9.8156766224e-01    -1.8671455223e+00    90.22       108.7 
53276    53048    5190     89       -9.8156766224e-01    -1.8671455223e+00    90.22       109.2 
53545    53315    5175     111      -9.8156766224e-01    -1.8453872903e+00    88.00       109.7 
53813    53581    5161     84       -9.8156766224e-01    -1.8453872903e+00    88.00       110.2 
54080    53848    5164     22       -9.8156766224e-01    -1.8453872903e+00    88.00       110.7 
54349    54117    5155     98       -9.8156766224e-01    -1.8453872903e+00    88.00       111.2 
54617    54385    5153     109      -9.8156766224e-01    -1.8435224105e+00    87.81       111.6 
54884    54649    5142     84       -9.8156766224e-01    -1.8384873317e+00    87.30       112.2 
