

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 14884           
  Cones                  : 0               
  Scalar variables       : 14763           
  Matrix variables       : 0               
  Integer variables      : 14762           

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 1.22
Presolved problem: 14763 variables, 14884 constraints, 58685 non-zeros
Presolved problem: 0 general integer, 14762 binary, 1 continuous
Clique table size: 14762
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
5021     4937     440      58       7.2111000000e-01     5.6250159459e-01     22.00       686.1 
5057     4973     444      60       7.2111000000e-01     5.6250159459e-01     22.00       688.0 
5088     5004     443      60       7.2111000000e-01     5.6250477043e-01     21.99       689.1 
5111     5027     446      98       7.2111000000e-01     5.6250477043e-01     21.99       691.8 
5140     5056     445      99       7.2111000000e-01     5.6250477043e-01     21.99       693.2 
5172     5088     447      62       7.2111000000e-01     5.6250477043e-01     21.99       696.0 
5197     5113     444      103      7.2111000000e-01     5.6250477043e-01     21.99       698.8 
5229     5145     446      104      7.2111000000e-01     5.6250477043e-01     21.99       700.3 
5247     5163     448      63       7.2111000000e-01     5.6250477043e-01     21.99       705.2 
5275     5191     460      64       7.2111000000e-01     5.6251192324e-01     21.99       708.7 
5291     5207     464      110      7.2111000000e-01     5.6251192324e-01     21.99       712.5 
5314     5230     467      110      7.2111000000e-01     5.6251192324e-01     21.99       715.5 
5331     5247     466      64       7.2111000000e-01     5.6288735827e-01     21.94       718.1 
5343     5259     472      102      7.2111000000e-01     5.6288735827e-01     21.94       722.3 
5365     5281     476      65       7.2111000000e-01     5.6288735827e-01     21.94       725.0 
5383     5299     480      95       7.2111000000e-01     5.6291884178e-01     21.94       729.5 
5408     5324     481      67       7.2111000000e-01     5.6291884178e-01     21.94       734.2 
5433     5349     486      68       7.2111000000e-01     5.6291884178e-01     21.94       737.7 
5460     5376     487      61       7.2111000000e-01     5.6291884178e-01     21.94       740.6 
5483     5399     490      69       7.2111000000e-01     5.6291884178e-01     21.94       745.8 
5513     5429     496      70       7.2111000000e-01     5.6291884178e-01     21.94       748.4 
5529     5445     498      66       7.2111000000e-01     5.6291884178e-01     21.94       753.3 
5547     5463     498      67       7.2111000000e-01     5.6300889789e-01     21.92       756.9 
5566     5482     501      69       7.2111000000e-01     5.6300889789e-01     21.92       759.2 
5585     5501     502      71       7.2111000000e-01     5.6335250896e-01     21.88       760.6 
5616     5532     507      67       7.2111000000e-01     5.6335250896e-01     21.88       762.0 
5628     5544     505      71       7.2111000000e-01     5.6335250896e-01     21.88       764.7 
5645     5561     508      67       7.2111000000e-01     5.6335250896e-01     21.88       767.3 
5645     5572     508      67       7.2111000000e-01     5.6335250896e-01     21.88       771.0 
5645     5583     508      67       7.2111000000e-01     5.6335250896e-01     21.88       771.5 
5645     5594     508      67       7.2111000000e-01     5.6335250896e-01     21.88       772.1 
5645     5605     508      67       7.2111000000e-01     5.6335250896e-01     21.88       772.5 
5645     5616     508      67       7.2111000000e-01     5.6335250896e-01     21.88       773.5 
5645     5627     508      67       7.2111000000e-01     5.6335250896e-01     21.88       774.0 
5655     5638     508      67       7.2111000000e-01     5.6335250896e-01     21.88       775.2 
5669     5652     508      67       7.2111000000e-01     5.6335250896e-01     21.88       777.3 
5688     5671     508      67       7.2111000000e-01     5.6335250896e-01     21.88       778.8 
5700     5683     508      67       7.2111000000e-01     5.6335250896e-01     21.88       779.6 
5726     5705     508      67       7.2111000000e-01     5.6335250896e-01     21.88       780.8 
5740     5719     508      67       7.2111000000e-01     5.6335250896e-01     21.88       781.4 
5753     5732     508      67       7.2111000000e-01     5.6335250896e-01     21.88       782.0 
5766     5745     508      67       7.2111000000e-01     5.6335250896e-01     21.88       782.4 
5780     5759     508      67       7.2111000000e-01     5.6335250896e-01     21.88       783.2 
5796     5773     508      67       7.2111000000e-01     5.6335250896e-01     21.88       783.7 
5855     5793     508      67       7.2111000000e-01     5.6335250896e-01     21.88       784.3 
5875     5812     508      67       7.2111000000e-01     5.6335250896e-01     21.88       784.9 
5928     5851     508      67       7.2111000000e-01     5.6335250896e-01     21.88       785.3 
5970     5879     508      67       7.2111000000e-01     5.6335250896e-01     21.88       786.2 
6036     5902     508      67       7.2111000000e-01     5.6335250896e-01     21.88       786.5 
6093     5922     508      67       7.2111000000e-01     5.6335250896e-01     21.88       786.7 
6137     5955     508      67       7.2111000000e-01     5.6335250896e-01     21.88       786.8 
6177     5988     508      67       7.2111000000e-01     5.6335250896e-01     21.88       787.1 
6194     6001     508      67       7.2111000000e-01     5.6335250896e-01     21.88       787.3 
6233     6037     509      74       7.2111000000e-01     5.6335250896e-01     21.88       788.9 
6258     6062     514      73       7.2111000000e-01     5.6335250896e-01     21.88       793.4 
6274     6078     512      74       7.2111000000e-01     5.6335250896e-01     21.88       794.8 
6311     6115     515      79       7.2111000000e-01     5.6335250896e-01     21.88       798.4 
6328     6132     518      74       7.2111000000e-01     5.6335250896e-01     21.88       800.0 
6348     6152     518      74       7.2111000000e-01     5.6347649040e-01     21.86       803.6 
6379     6183     517      75       7.2111000000e-01     5.6370779247e-01     21.83       805.6 
6399     6203     517      87       7.2111000000e-01     5.6370779247e-01     21.83       808.0 
6419     6223     515      76       7.2111000000e-01     5.6370779247e-01     21.83       810.2 
6431     6235     519      76       7.2111000000e-01     5.6370779247e-01     21.83       813.7 
6448     6252     522      75       7.2111000000e-01     5.6370779247e-01     21.83       816.6 
6470     6274     530      77       7.2111000000e-01     5.6374860458e-01     21.82       823.2 
6484     6288     534      78       7.2111000000e-01     5.6374860458e-01     21.82       826.4 
6500     6303     532      77       7.2111000000e-01     5.6374860458e-01     21.82       829.5 
6536     6339     546      85       7.2111000000e-01     5.6374860458e-01     21.82       834.2 
6560     6363     546      79       7.2111000000e-01     5.6382477606e-01     21.81       835.9 
6590     6393     550      78       7.2111000000e-01     5.6382477606e-01     21.81       837.9 
6638     6441     548      84       7.2111000000e-01     5.6382477667e-01     21.81       840.8 
6681     6484     541      85       7.2111000000e-01     5.6382477667e-01     21.81       843.6 
6709     6512     543      82       7.2111000000e-01     5.6382970946e-01     21.81       845.2 
